ProductID,ProductName,Category,Price,StockQuantity
1.0,Low Ultra,Beauty,,342
2.0,Data Edition,Beauty,706.47,147
3.0,Wife Plus,Electronics,400.1,393
4.0,Everyone Max,Clothing,765.73,None
5.0,Reduce Edition,Clothing,229.06,14
6.0,Watch Plus,,386.32,324
7.0,Out Pro,Clothing,427.33,7
8.0,Never Edition,Furniture,723.4,362
9.0,Report Basic,Electronics,943.22,42
10.0,Energy Ultra,Electronics,455.7,98
11.0,Plant Edition,Beauty,200.22,263
12.0,When Ultra,Beauty,786.27,312
13.0,Agent Plus,Home Appliances,582.59,339
14.0,Seat Ultra,Sports,995.55,74
15.0,Almost Edition,Home Appliances,,None
16.0,Today Basic,Beauty,62.94,220
17.0,Author Edition,Automotive,683.19,121
18.0,Question Pro,Clothing,606.48,37
19.0,Draw Pro,Beauty,31.9,405
20.0,Knowledge Basic,Toys,473.71,None
21.0,Star Edition,Beauty,98.81,409
22.0,Little Edition,Books,156.03,187
23.0,Operation Plus,Home Appliances,338.37,279
24.0,True Max,Books,582.78,95
25.0,Hear Basic,Sports,333.31,None
26.0,Return Basic,Electronics,486.45,445
27.0,Reveal Max,Automotive,528.67,217
28.0,Hear Pro,,299.54,130
29.0,After Max,Toys,,None
30.0,Rise Pro,Books,6.95,None
31.0,Television Basic,Electronics,66.3,438
32.0,Above Ultra,Clothing,529.55,110
33.0,Town Plus,Toys,,105
34.0,Factor Edition,Sports,,49
35.0,Building Ultra,Toys,691.0,231
36.0,Well Plus,Home Appliances,992.33,119
37.0,Business Plus,Electronics,6.82,258
38.0,Remain Ultra,Home Appliances,553.5,485
39.0,Ability Plus,,165.58,236
40.0,However Basic,Clothing,333.25,500
41.0,Season Basic,Electronics,326.74,231
42.0,Possible Edition,Furniture,682.74,57
43.0,Of Pro,,789.55,170
44.0,Medical Max,Books,387.48,276
45.0,Conference Basic,Beauty,328.87,97
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
46.0,Third Plus,Furniture,,284
47.0,Reduce Pro,Clothing,499.41,None
48.0,Else Pro,Books,995.03,30
49.0,Right Basic,Toys,633.25,None
50.0,Difficult Pro,Furniture,726.71,263
51.0,Billion Pro,Beauty,440.77,None
52.0,Single Ultra,Automotive,611.36,98
53.0,Whole Ultra,Toys,186.76,51
54.0,Kitchen Pro,Home Appliances,578.05,433
55.0,Sea Ultra,Sports,726.7,409
56.0,Not Plus,Home Appliances,,93
57.0,Large Max,Toys,515.94,247
58.0,Arrive Pro,Furniture,945.31,None
59.0,Free Plus,Electronics,467.15,463
60.0,Bed Plus,Home Appliances,257.57,185
61.0,Middle Pro,Toys,160.98,258
62.0,Wife Pro,,989.25,422
63.0,Say Max,Furniture,38.63,160
64.0,Prove Plus,Automotive,209.67,261
65.0,Series Max,Electronics,96.22,219
66.0,Nearly Max,Sports,429.38,148
67.0,Interesting Pro,Toys,899.63,253
68.0,Hotel Basic,Sports,585.49,390
69.0,Enter Plus,Beauty,22.94,359
70.0,Color Max,Sports,355.6,41
71.0,Crime Ultra,Furniture,299.32,None
72.0,Author Edition,Automotive,159.14,462
73.0,Position Ultra,,427.2,40
74.0,Hold Basic,Clothing,633.11,None
75.0,Poor Basic,Sports,443.85,225
76.0,Head Plus,Toys,309.89,290
77.0,Son Ultra,Books,511.52,302
78.0,Approach Basic,Furniture,517.86,179
79.0,Adult Max,Electronics,229.11,369
80.0,Not Edition,Automotive,752.7,64
48.0,Else Pro,Books,995.03,30
10.0,Energy Ultra,Electronics,455.7,98
64.0,Prove Plus,Automotive,209.67,261
28.0,Hear Pro,,299.54,130
43.0,Of Pro,,789.55,170
73.0,Position Ultra,,427.2,40
54.0,Kitchen Pro,Home Appliances,578.05,433
45.0,Conference Basic,Beauty,328.87,97
80.0,Not Edition,Automotive,752.7,64
28.0,Hear Pro,,299.54,130
